title,link,author,pubDate,description,text
"['Nancy Pelosi', 'asie étape délicat Taïwan']",https://africanmanager.com/nancy-pelosi-en-asie-avec-une-possible-etape-delicate-a-taiwan/,['African Manager'],['aug 12:04:58 +0000'],['président chambre représentant Etats-Unis Nancy Pelosi entamer lundi tourner asiatique étape Singapour entretenir flou autour d&8217;une escale Taïwan envenimer relation tendre Pékin Washington Singapour ministre Lee Hsien Loong l&8217;a appeler'],
['al Baraka Bank TDFP lancer service portefeuille mobile Tunisie'],https://africanmanager.com/al-baraka-bank-et-tdfp-vont-lancer-un-service-de-portefeuille-mobile-en-tunisie/,['African Manager'],['aug 12:00:42 +0000'],['Tunisian Digital Finance for People TDFP signer accord partenariat al Baraka Bank lancer exploiter conjointement service portefeuille mobile financièremer socialemer inclusif tunisie 160;TDFP filiale vyzyo société technologie service financier mobile croissance rapide al Baraka banqu'],
['a.tebboune Saied incarn légitimité tunisie'],https://africanmanager.com/a-tebboune-saied-incarne-la-legitimite-en-tunisie/,['African Manager'],['aug 11:50:34 +0000'],"['président algérien Abdel Majid', 'Tebboune déclarer dimanche soir Tunisie pays frère sentir plein terme indiquer 160;l&8217;Algérie connaître situation traverse&160 actuellement Tunisie l&8217;algérie tenir 160;pas 160;aux côté tunisie faire s&8217;est il demander']",
"['Malte l ’ UE', 'fourbir arme guerre Lampuki contre pêcheur tunisien']",https://africanmanager.com/malte-et-lue-fourbissent-leurs6997/,['African Manager'],['aug 11:13:00 +0000'],['patrouilleur européen&160 prêt appareiller&160 160;mettre fin&160 braconnage Lampuki Lambouka pêcheur tunisiens&160 prétendre autoriter maltaises&160 relayer broncher médier l&8217;île s&8217;agit 160;Lundy sentinel&160 missionné&160 patrouiller méditerraner lutter contre pêche illégal haute mer'],
"['Sidi Bouzid', 'personne impliquer affaire tricheri l ’ examen baccalauréat']",https://africanmanager.com/sidi-bouzid-huit-personnes-impliquees-dans-une-affaire-de-tricherie-lors-de-lexamen-du-baccalaureat-2021/,['African Manager'],['aug 09:48:31 +0000'],['parquet tribunal instance Sidi Bouzid autoriser l&8217;ouvertur d&8217;une enquête judiciaire l&8217;encontre personne responsable d&8217;un centre d&8217;examen baccalauréat Sidi Bouzid assistant nombre professeur d&8217;enseignant contrôleur fonctionnaire centre'],
['Bouatay vouloir rempiler Sotetel'],https://africanmanager.com/bouatay-ne-veut-pas-rempiler-a-la-sotetel/,['African Manager'],['aug 09:05:06 +0000'],['Société tunisienne d ’ entreprise Télécommunications Sotetel porte connaissance public actionnaire contrat Habib Bouatay Directeur général société prendre fin septembre dernier n ’ souhaiter renouveler quitter filiale tunisie Télécom Bouatay laisse entreprendre'],
"['décision d ’ interdir plastique usage unique djerba entrer vigueur lundi', 'premier août']",https://africanmanager.com/la-decision-dinterdire-le-plastique-a-usage-unique-a-djerba-entrera-en-vigueur-lundi-1er-aout/,['African Manager'],['aug 08:13:49 +0000'],['décision gouvernemental d&8217;interdire plastique usage unique djerba entrer vigueur partir lundi premier août promulgation d&8217;une décision commun municipalité djerba Midoune Ajime Houmt souk l&8217;interdiction production distribution l&8217;utilisation sac plastique décision'],
['LTDH appeler Kaies Saied refuser lettre créance nouveau ambassadeur américain Joey Hood'],https://africanmanager.com/la-ltdh-appelle-kaies-saied-a-refuser-les-lettres-de-creance-du-nouvel-ambassadeur-americain-joey-hood/,['African Manager'],['aug 08:12:45 +0000'],"['Ligue tunisienne droit l&8217;Homme LTDH appeler président république Kais Saied refuser lettre créanc l&8217;ambassadeur américain désigner Joey', 'hood suite déclaration \xa0   porter préjudice souveraineté national contraire usage diplomatique \xa0   s&8217;exprimer Sénat américain', 'l&8217;ambassadeur désigné affirmer']",
['gestion singulier permettre Maroc surmonter effet crise pandémique'],https://africanmanager.com/une-gestion-singuliere-a-permis-au-maroc-de-surmonter-les-effets-de-la-crise-pandemique/,['African Manager'],"['aug 08:10:22', '+0000']","['crise mesure exceptionnel', 'Maroc grâce gestion singulier surmonter effet crise lier covid-19 sentir secteur économique social affirmé samedi rabat roi Mohammed vi \xa0   surmonté conjonctur difficile']",
['sénégal million sénégalais élire député'],https://africanmanager.com/senegal-pres-de-sept-millions-de-senegalais-elisent-leurs-deputes/,['African Manager'],['aug 08:07:06 +0000'],"['coalition prendre part élection législatif sénégalais Top départ l ’ élection membre 14e législatur sénégalais', 'total 6.727.759 électeur appeler urne juillet élir député l ’', 'assemblée', 'national', 'issu diasporer Apanews élection']",
"['Maroc', 'roi appeler réform code famill']",https://africanmanager.com/maroc-le-roi-appelle-a-une-reforme-du-code-de-la-famille/,['African Manager'],['aug 08:05:54 +0000'],['Roi Mohammed VI affirmer l ’ application terrain code famill révéler limite entraver mettre oeuvre optimal discour prononcer samedi rabat l ’ occasion 23è anniversaire fête trône Souverain marocain appeler réform'],
['législative Sénégal religieux s ’ invitent jeu politique'],https://africanmanager.com/legislatives-au-senegal-quand-les-religieux-sinvitent-dans-le-jeu-politique/,['African Manager'],['aug 08:05:09 +0000'],"['c ’ viell tradition sénégalais remont loin', '', 'l ’ histoire politique pays explique politologu sénégal législatif dérouler dimanche juillet élection l ’ affaire homme force politique ancien colonie français îlot stabilité politique modeler']",
['Maroc appeler l ’ établissement relation normal l ’ Algérie'],https://africanmanager.com/le-maroc-appelle-a-letablissement-de-relations-normales-avec-lalgerie/,['African Manager'],"['aug 08:03:30', '+0000']",['Roi Mohammed vi appeler travailler main main présidenc algérien l ’ établissement relation normal peuple aspirer œuvrer présidence algérien Maroc l ’ algérie pouvoir travailler main main l ’ établissement relation normal'],
['abandon tests Covid Algériens départ Tunisie'],https://africanmanager.com/abandon-des-tests-covid-pour-les-algeriens-au-depart-de-la-tunisie/,['African Manager'],['aug 07:38:45 +0000'],"['président république kai saied décider coordination ministre l&8217;intérieur tunisien algérien soumettre ressortissant algérien départ tunisie test dépistage Covid', 'rt PCR niveau poste frontalier partir dimanche juillet', 'mesure venir']",
['tunisien tête gondole migrant clandestin Italie'],https://africanmanager.com/les-tunisiens-tete-de-gondole-des-migrants-clandestins-en-italie/,['African Manager'],"['sun', 'Jul 18:22:43', '+0000']",['nombre migrant clandestin nationalité tunisien important début l&8217;année jusqu&8217;à date juillet dernier statistique ministère italien l&8217;intérieur 160;7170 d&8217;entre eux&160;&160;ont débarqué&160;&160;sur côtes&160;&160;de péninsule talonner migrant d&8217;egypte Bangladesh d&8217;afghanistan Syrie'],
['Saisie Ras Jdir grand quantité carburer contrebande destiner Tunisie'],https://africanmanager.com/saisie-a-ras-jdir-de-grandes-quantites-de-carburant-de-contrebande-destine-a-la-tunisie/,['African Manager'],"['sun', 'Jul', '18:21:04', '+0000']","['autorité douanier libyennes&160;&160;au point&160;&160;d passage frontalier&160;&160;Ras Jdir ont&160;&160;remi total litre carburer saisir destiner contrebande tunisie rapport site Libya Herald', 'carburer confisquer contenu multiple jerrycans plastique conteneur d&8217;eau vide', 'être remettre Brega Marketing Company filiale']",
"['Tennis', 'Tournoi', 'San', 'josé', 'Ons Jabeur lice', 'partir huitième final']",https://africanmanager.com/tennis-tournoi-san-jose-ons-jabeur-en-lice-a-partir-des-8e-de-finale/,['African Manager'],"['sun', 'Jul 18:11:33', '+0000']","['joueur tenni tunisienne Ons Jabeur 5e mondial disputer partir semaine tournoi San José Etats-Unis dur', 'finaliste tournoi Wimbledon exempt tour devoir entrer lice mercredi partir huitième final face gagnant match opposer lundi', '']",
